"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotate","Value"
"C1","90310","","54.45","39.21","Top","90.0","1000uF"
"C2","VHT-100M50","","51.91","53.34","Top","90.0","100uF"
"C3","VHT-100M50","CAPPRD500W60D1050H2200_AD3","30.32","39.21","Top","0.0","100uF"
"C4","VHT-100M50","CAPPRD500W60D1050H2200_AD3","43.02","39.21","Top","0.0","100uF"
"C5","A102J15C0GF5UAAP","","68.42","107.79","Top","270.0","1nF"
"C6","860160672009","CAPPRD200W50D550H1250","37.94","27.78","Top","0.0","10uF"
"C7","TVA1161","","55.72","22.7","Top","0.0","250uF"
"C8","860160672009","CAPPRD200W50D550H1250","30.32","27.78","Top","0.0","10uF"
"D1","1N5819G","DIOAD1048W78L520D270_AD2","63.34","53.18","Top","270.0",""
"J1","640453-4","HDRRA4W66P254_4X1_1016X508H490_AL1","40.48","13.81","Top","0.0",""
"J2","1-640453-5","HDRRA15W66P254_15X1_3810X508H490_AL1","65.88","13.81","Top","0.0",""
"J3","640453-4","HDRRA4W66P254_4X1_1016X508H490_AL1","90.01","17.62","Top","90.0",""
"J4","640453-3","HDRRA3W66P254_3X1_762X508H490_AL1","90.01","27.78","Top","90.0",""
"J5","PPTC021LFBN-RC","RHDRV2W80P254_2X1_558X250H875_AP1","90.01","41.75","Top","90.0",""
"J6","PPTC021LFBN-RC","RHDRV2W80P254_2X1_558X250H875_AP1","90.01","50.64","Top","90.0",""
"R1","","RESAD1640W50L1112D360","68.42","69.69","Top","270.0","10K"
"R2","","RESAD1640W50L1112D360","48.1","84.93","Bottom","90.0","10K"
"R3","","RESAD1640W50L1112D360","20.16","114.14","Bottom","180.0","170"
"R4","","RESAD1640W50L1112D360","20.16","106.52","Bottom","180.0","170"
"R5","","RESAD1640W50L1112D360","20.16","98.9","Bottom","180.0","170"
"R6","","RESAD1640W50L1112D360","20.16","91.28","Bottom","180.0","170"
"R7","","RESAD1640W50L1112D360","20.16","83.66","Bottom","180.0","170"
"R8","","RESAD1640W50L1112D360","20.16","76.04","Bottom","180.0","170"
"R9","","RESAD1640W50L1112D360","20.16","68.42","Bottom","180.0","170"
"R10","","RESAD1640W50L1112D360","20.16","60.8","Bottom","180.0","170"
"R11","","RESAD1640W50L1112D360","20.16","53.18","Bottom","180.0","170"
"R12","","RESAD1640W50L1112D360","20.16","45.56","Bottom","180.0","170"
"R13","","RESAD1640W50L1112D360","83.66","70.96","Bottom","0.0","1"
"R14","","RESAD1640W50L1112D360","83.66","78.58","Bottom","0.0","1"
"R15","","RESAD1640W50L1112D360","83.66","86.2","Bottom","0.0","1"
"R16","","RESAD1640W50L1112D360","83.66","93.82","Bottom","0.0","1"
"R17","","RESAD1640W50L1112D360","83.66","101.44","Bottom","0.0","1"
"R18","","RESAD1640W50L1112D360","83.66","109.06","Bottom","0.0","1"
"R19","","","49.37","105.25","Bottom","270.0","180"
"R20","","FRN25JR22","40.48","105.25","Bottom","90.0",".22"
"R21","","FRN25JR22","72.865","54.45","Top","90.0","6.2K"
"R22","","FRN25JR22","40.48","84.93","Bottom","90.0","1K"
"R23","T93YA103KT20","TRIM_T93YA103KT20","21.43","17.62","Top","0.0",""
"R24","","RESAD1640W50L1112D360","64.61","29.05","Top","0.0","10"
"U1","","ADALOGGER M0","46.83","92.55","Top","0.0","ADALOGGER M0"
"U2","SN74HC125N","SN74HC125N","72.23","39.21","Top","90.0",""
"U3","LM386","DIP08","77.31","22.7","Top","0.0",""
"U4","MC34063ECN","DIP254P762X480-8","36.67","55.72","Top","0.0",""
